bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Chicago, Illinois, USA""","""21520""","""1919-06-14""","""Sam Wanamaker""","""Was an American film director and actor and is credited as the person most responsible for the modern recreation of Shakespeare's Globe Theatre in London.  He is father to actress Zoë Wanamaker...""","""1993-12-18""","""https://image.tmdb.org/t/p/w440_and_h660_face/di9f8OPCKbZFDX0Ux4Uu0mIPgK8.jpg""","""https://themoviedb.org/person/21520"""
"""New York City, New York, USA""","""69300""","""1921-11-08""","""Gene Saks""","""From Wikipedia, the free encyclopedia. 

Gene Saks (born November 8, 1921) is an American stage and film director...""","""2015-03-28""","""https://image.tmdb.org/t/p/w440_and_h660_face/eycEUe3kyD4SLBlTE3suUHmQhcd.jpg""","""https://themoviedb.org/person/69300"""
"""San Francisco, California, U.S.""","""86""","""1937-12-01""","""Bruce Brown""","""​From Wikipedia, the free encyclopedia.   

Bruce Brown (born December 1, 1937 in San Francisco, California) is an American documentary film director, known as an early pioneer of the surf film.  He is the father of filmmaker Dana Brown. 

His surfing films were Slippery When Wet (1958), Surf Crazy (1959), Barefoot Adventure (1960), Surfing Hollow Days (1961), Waterlogged (1962), and his most well known film, The Endless Summer (1964) which received a nationwide theatrical release in 1966...""","""2017-12-10""",null,"""https://themoviedb.org/person/86"""
null,"""88571""",null,"""Harold P. Warren""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/4ztmebGPEkTsM2S68JmyCFiuMeS.jpg""","""https://themoviedb.org/person/88571"""
"""The Bronx, New York City, New York, USA""","""1895""","""1922-03-20""","""Carl Reiner""","""Carl Reiner (March 20, 1922 - June 29, 2020) was an American actor, film director, producer, writer and comedian.  During his career he won nine Emmy Awards and one Grammy Award.  He has the distinction of being the only person to have appeared on the The Tonight Show with each of its five hosts...""","""2020-06-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/mOTXz6LK7PUdqGcTVfQl7MtqCrV.jpg""","""https://themoviedb.org/person/1895"""
"""Santa Monica, California, USA""","""4135""","""1936-08-18""","""Robert Redford""","""Charles Robert Redford Jr.  (born August 18, 1936), better known as Robert Redford, is an American actor, film director, producer, businessman, model, environmentalist, philanthropist, and founder of the Sundance Film Festival.  He has received two Oscars: one in 1981 for directing Ordinary People, and one for Lifetime Achievement in 2002...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/fUj0y9f69EYqWcGgjDhEcHlyzTW.jpg""","""https://themoviedb.org/person/4135"""
"""St. Simons Island, Georgia, USA""","""4774""","""1936-02-17""","""Jim Brown""","""An American former professional football player who has also made his mark as an actor.  He is best known for his exceptional and record-setting nine-year career as a running back for the NFL Cleveland Browns from 1957 to 1965.  In 2002, he was named by Sporting News as the greatest professional football player ever.  He is considered to be one of the greatest professional athletes the U. S.  has ever produced...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/wfp06VC5yr9mdzdZ5JcbzqD5YEG.jpg""","""https://themoviedb.org/person/4774"""
"""Los Angeles, California, USA""","""4483""","""1937-08-08""","""Dustin Hoffman""","""Dustin Hoffman (born August 8, 1937) is an American stage, film and television actor.  After versatile portrayals of antiheroes and vulnerable types of characters in stage plays, he had his breakthrough film role as Benjamin Braddock in the feature film \""The Graduate\"".  Since then he starred in many films, like \""Papillon\"", \""Kramer vs.  Kramer\"", \""Tootsie\"", and \""Rain Man\""...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/zN03MlLSFeTFT5TtX282mHD1rqF.jpg""","""https://themoviedb.org/person/4483"""
"""Stockholm, Stockholms län, Sweden""","""133471""","""1924-12-02""","""Vilgot Sjöman""","""David Harald Vilgot Sjöman was a Swedish writer and film director.  His films deal with controversial issues of social class, morality, and sexual taboos, combining the emotionally-tortured characters of Ingmar Bergman with the avant garde style of the French New Wave...""","""2006-04-09""",null,"""https://themoviedb.org/person/133471"""
"""Dodge City - Kansas - USA""","""2778""","""1936-05-17""","""Dennis Hopper""","""Dennis Lee Hopper (May 17, 1936 – May 29, 2010) was an American actor, filmmaker and artist.  As a young man, Hopper became interested in acting and eventually became a student of the Actors' Studio.  He made his first television appearance in 1954, and appeared in two films featuring James Dean, Rebel Without a Cause (1955) and Giant (1956).  During the next 10 years, Hopper appeared frequently on television in guest roles, and by the end of the 1960s had played supporting roles in several films...""","""2010-05-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/3Hg8mkb1RxqNhDOofzHdr0PoufH.jpg""","""https://themoviedb.org/person/2778"""
"""Forest Hill, London, England, UK""","""30706""","""1926-06-10""","""Lionel Jeffries""","""From Wikipedia, the free encyclopedia

Lionel Charles Jeffries (10 June 1926 – 19 February 2010) was an English actor, screenwriter and film director. 

Description above from the Wikipedia article Lionel Jeffries, licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""2010-02-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/6FYwiCj3W3pzQrtRBoaF9gc8Uvq.jpg""","""https://themoviedb.org/person/30706"""
"""Williamsburg, Brooklyn, New York, USA""","""10400""","""1942-04-24""","""Barbra Streisand""","""Barbara Joan \""Barbra\"" Streisand (born April 24, 1942) is an American singer, songwriter, actress, and filmmaker.  She has won two Academy Awards, eight Grammy Awards, four Emmy Awards, a Special Tony Award, an American Film Institute award, a Peabody Award, and is one of the few entertainers who have won an Academy, Emmy, Grammy, and Tony Award. 

She is one of the most commercially and critically successful entertainers in modern entertainment history, with more than 71...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/6YD223jsdZX7VnWSjGjP1S7Xj6X.jpg""","""https://themoviedb.org/person/10400"""
"""Milwaukee, Wisconsin, USA""","""3460""","""1933-06-11""","""Gene Wilder""","""Gene Wilder (born Jerome Silberman; June 11, 1933 - August 29, 2016) was an American stage and screen actor, director, screenwriter, and author. 

Wilder began his career on stage, making his screen debut in the film Bonnie and Clyde in 1967.  His first major role was as Leopold Bloom in the 1968 film The Producers...""","""2016-08-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/j4naYGrsnKVFynZJZ1RS1XKR47X.jpg""","""https://themoviedb.org/person/3460"""
"""Lansing, Michigan, USA""","""16475""","""1936-02-11""","""Burt Reynolds""","""Burton Leon \""Burt\"" Reynolds Jr.  (February 11, 1936 - September 6, 2018) was an American actor.  Some of his memorable roles include Bo 'Bandit' Darville in Smokey and the Bandit, Lewis Medlock in Deliverance, Bobby \""Gator\"" McCluskey in White Lightning and sequel Gator, Paul Crewe and Coach Nate Scarborough in The Longest Yard and its 2005 remake respectively, J. J.  McClure in The Cannonball Run, the voice of Charlie B.  Barkin in All Dogs Go to Heaven, and Jack Horner in Boogie Nights...""","""2018-09-06""","""https://image.tmdb.org/t/p/w440_and_h660_face/5FNuc4f1OR9EF9QcrcnFIr3zZQr.jpg""","""https://themoviedb.org/person/16475"""
"""Paris, France""","""1650""","""1932-02-06""","""François Truffaut""","""François Roland Truffaut (6 February 1932 – 21 October 1984) was an influential film critic and filmmaker and one of the founders of the French New Wave.  In a film career lasting over a quarter of a century, he remains an icon of the French film industry.  He was also a screenwriter, producer, and actor working on over twenty-five films...""","""1984-10-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/3bXLtipaybsje01LlQvHvuUAZNq.jpg""","""https://themoviedb.org/person/1650"""
"""New York City, New York""","""24318""","""1938-05-22""","""Richard Benjamin""","""From Wikipedia, the free encyclopedia. 

Richard Benjamin (born May 22, 1938) is an American actor and film director.  He has starred in a number of productions, including Goodbye, Columbus (1969), based on the novella (1959) by Philip Roth, and Westworld (1973)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/i58m0OdJLHBez2z6ZbXiqXOZZpV.jpg""","""https://themoviedb.org/person/24318"""
"""Portsmouth - New Hampshire - USA""","""14987""","""1938-08-06""","""Peter Bonerz""","""From Wikipedia, the free encyclopedia

Peter Bonerz (born August 6, 1938 in Portsmouth, New Hampshire) is an American actor and director who is best known as the character Dr.  Jerry Robinson on The Bob Newhart Show. 

Bonerz grew up in Milwaukee, Wisconsin, where he attended Marquette University High School, gaining his first theatrical experience with the Prep Players under rigid conditions.  At Marquette University he participated in the Marquette University Players under the Rev.  John J...""",null,null,"""https://themoviedb.org/person/14987"""
"""The Bronx, New York City, New York, USA""","""1243""","""1935-12-01""","""Woody Allen""","""Woody Allen (born Allen Stewart Konigsberg; December 1, 1935) is an American screenwriter, film director, actor, comedian, writer, musician, and playwright.  Allen's distinctive films, which run the gamut from dramas to screwball sex comedies, have made him a notable American director.  He is also distinguished by his rapid rate of production and his very large body of work.  Allen writes and directs his movies and has also acted in the majority of them...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg""","""https://themoviedb.org/person/1243"""
"""San Diego, California, USA""","""3087""","""1931-01-05""","""Robert Duvall""","""Robert Selden Duvall (born January 5, 1931) is an American actor and director.  He has won an Academy Award, two Emmy Awards, and four Golden Globe Awards over the course of his career.  Duvall has been in some of the most acclaimed and popular films of all time, among them To Kill a Mockingbird, The Godfather, The Godfather Part II, MASH, Network, True Grit, Bullitt, The Conversation, Apocalypse Now, Tender Mercies, The Natural and Lonesome Dove...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/2TBraRu1vWjUItXtXAII8z6Pvs9.jpg""","""https://themoviedb.org/person/3087"""
"""Weston-Super-Mare, Somerset, England, UK""","""8930""","""1939-10-27""","""John Cleese""","""John Marwood Cleese (born 27 October 1939) is an English actor, comedian, writer and film producer.  He achieved success at the Edinburgh Festival Fringe, and as a scriptwriter and performer on The Frost Report.  In the late 1960s he became a member of Monty Python, the comedy troupe responsible for the sketch show Monty Python's Flying Circus and the four Monty Python films: And Now for Something Completely Different, Holy Grail, Life of Brian and The Meaning of Life...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/kg63gNYQtGPi2fSNIvCnVAclCbi.jpg""","""https://themoviedb.org/person/8930"""
"""Minneapolis, Minnesota, USA""","""280""","""1940-11-22""","""Terry Gilliam""","""Terrence Vance \""Terry\"" Gilliam is an American-British screenwriter, film director, animator, actor and member of the Monty Python comedy troupe.  Gilliam is also known for directing several films, including Time Bandits (1981), Brazil (1985), The Adventures of Baron Munchausen (1988), The Fisher King (1991), 12 Monkeys (1995), Fear and Loathing in Las Vegas (1998) and The Imaginarium of Doctor Parnassus (2009).  He is the only \""Python\"" not born in Britain; he took British citizenship in 1968...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/dnI56oXeTBmNgj6ibnUqoHvmau6.jpg""","""https://themoviedb.org/person/280"""
"""Minneapolis, Minnesota, U.S.""","""129482""","""1931-08-10""","""Tom Laughlin""","""From Wikipedia, the free encyclopedia. 

Tom Laughlin (born August 10, 1931) is an American actor, director, screenwriter, author, educator and political activist.  Laughlin is best known for his series of Billy Jack films.  He has been married to Delores Taylor since 1954.  Taylor has also co-produced and acted in all four of the Billy Jack films.  His unique promotion of The Trial of Billy Jack was a major influence on the way films are marketed...""","""2013-12-12""","""https://image.tmdb.org/t/p/w440_and_h660_face/fPD8HQ355BLgiecFlg1Z5skIOjz.jpg""","""https://themoviedb.org/person/129482"""
"""Rimini, Emilia-Romagna, Italy""","""4415""","""1920-01-20""","""Federico Fellini""","""Federico Fellini, Knight Grand Cross (January 20, 1920 – October 31, 1993), was an Italian film director and screenwriter.  Known for a distinct style that blends fantasy and baroque images, he is considered one of the most influential and widely revered filmmakers of the 20th century. 

Personal and highly idiosyncratic visions of society, Fellini's films are a unique combination of memory, dreams, fantasy and desire...""","""1993-10-31""","""https://image.tmdb.org/t/p/w440_and_h660_face/g2bf6j08VBocJMVvOK7sEYqBX91.jpg""","""https://themoviedb.org/person/4415"""
